"Number","Category","Severity","File_Location","Issue_Title","Description","Evidence","Impact","Fix"
"19","Security","HIGH","code3/f14_ui_dashboard.py:396","Password obtained from QLineEdit as string then encoded","""In LoginWindow._try_login"," the password is obtained from the QLineEdit widget as a string (`self._pw.text()`) and then encoded to bytes. The string object persists in memory and cannot be wiped. The QLineEdit widget itself also retains the password in its internal buffers.""","""Code: `pw = bytearray(self._pw.text().encode())` (line 396). The `self._pw.text()` call creates an immutable QString which is then encoded.""","""The password exists as an immutable QString in Qt's memory space, plus the encoded bytearray. The Qt widget retains the password internally. None of these can be securely wiped."",""Use QLineEdit's `displayText()` or access the underlying buffer directly. Clear the QLineEdit immediately after encoding: `self._pw.clear()`. Consider using a custom password input widget that stores characters in a mutable buffer."
"20","Security","HIGH","code3/f14_ui_dashboard.py:211","Session token partially displayed in UI","""The session token is displayed in the UI header: `f""""Signed in | session {session_token[:10]}...""""` (line 211). While only the first 10 characters are shown"," this leaks information about the session token format and could aid session hijacking if an attacker can observe the screen.""","""Code: `user = QLabel(f""""Signed in | session {session_token[:10]}..."""")` (line 211).""","""Partial session token exposure. Combined with shoulder surfing or screen recording, an attacker could potentially correlate sessions or use the partial token for social engineering."",""Do not display any portion of the session token in the UI. Show only the username or a generic 'Signed in' indicator."
"21","Security","HIGH","main-code/main.py:166","Password passed as string from QLineEdit in registration","""In do_register"," the password is obtained as a string from QLineEdit and passed to registerUser. Same issue as #19 — the password exists as an immutable string.""","""Code: `res = registerUser(name"," bytearray(p.text().encode()), db_path)` (line 166)."",""Password persists as immutable string in Qt memory space."",Clear the QLineEdit immediately after encoding. Use a mutable buffer approach."
"22","Security","HIGH","main-code/main.py:185","Password passed as string from QLineEdit in login","""Same issue in do_login_click — password obtained as string from QLineEdit.""","""Code: `r = core.login(name"," bytearray(p.text().encode())"," db_path)` — wait, actually `r = core.login(name, bytearray(p.text().encode()))` (line 185)."",""Password persists as immutable string in Qt memory space."",Clear the QLineEdit immediately after encoding."
"23","Security","HIGH","code1/f03_decrypt_file.py:224","Hardcoded dummy AES key in demo code","""The __main__ block in f03_decrypt_file.py contains `aes_key = b""""0"""" * 32` — a hardcoded 32-byte key of all zeros. While this is demo code that won't actually work"," it demonstrates poor security hygiene and could be copied into production code.""","""Code: `aes_key = b""""0"""" * 32  # This won't work — f02 uses random key` (line 224).""","""If this pattern is copied into production code, it would use a predictable all-zeros key, making all encryption trivially breakable. The comment acknowledges it won't work but the pattern is dangerous."",""Remove all hardcoded keys from demo code. Use `secrets.token_bytes(32)` even in demos to model correct behavior."
"24","Security","HIGH","code2/f10_monitor_process.py:97-105","Suspicious process list is trivially bypassed","""The process monitor checks for a hardcoded list of known debugger names (x64dbg.exe"," ollydbg.exe"," windbg.exe"," etc.). An attacker can simply rename the debugger executable to bypass detection. Additionally, many legitimate tools (VS Code, Visual Studio, PyCharm) contain debugging capabilities but are not flagged."",""Code: `suspicious_names = [""""x64dbg.exe"""", """"ollydbg.exe"""", """"windbg.exe"""", """"ida64.exe"""", """"processhacker.exe"""", """"wireshark.exe""""]` (lines 97-100)."",""The debugger detection provides a false sense of security. Any competent attacker bypasses it in seconds by renaming their tools. Meanwhile, it may false-positive on legitimate security tools."",""Implement behavioral detection instead of name-based blacklisting. Check for debug registers (Windows: GetThreadContext with CONTEXT_DEBUG_REGISTERS), check for PEB.BeingDebugged flag, use NtQueryInformationProcess. Accept that this is defense-in-depth only."
"25","Security","HIGH","code3/f13_init_drive_detection.py:171-179","USB monitoring thread has no exception handling for callback","""The monitorUSBPresence function runs a background thread that polls for USB presence. If the callback raises an exception"," it is silently caught and ignored"," and the thread exits. This means USB removal detection can silently fail.""","""Code: `try: callback() except Exception: pass` then `break` (lines 175-179)."",""If the emergency lock callback fails (e.g., due to a bug in emergencyLock), the USB removal is silently ignored and the system continues running with decrypted files exposed. The user has no indication that the protection failed."",""Log the exception and retry the callback. If the callback fails repeatedly, trigger a fallback emergency action (e.g., wipe known sandbox paths directly)."
"26","Security","HIGH","code3/f17_config_loader.py:111-118","Config written as plaintext JSON when no encryption key provided","""When encryption_key is None"," the config is written as plaintext JSON with only a warning. The config contains sensitive operational details including cloud_sync_enabled"," paths"," and OAuth token paths."",""Code: `warnings.warn(""""SFFS config written as PLAIN JSON..."""")` then `plain_path.write_text(json.dumps(cfg, indent=2))` (lines 112-118)."",""An attacker with access to the USB can read the configuration file to understand the system setup, including whether cloud sync is enabled, which hash algorithm is used, and where OAuth tokens are stored."",""Always encrypt the config file. Derive an encryption key from the user's password at startup. If no password is available, use a device-specific key."
"27","Security","HIGH","code2/f09_authenticate_user.py:248","Session tokens generated with secrets.token_urlsafe but stored without binding","""Session tokens are generated using `secrets.token_urlsafe(32)` and stored in SQLite without binding to IP"," user agent"," or device fingerprint. A stolen session token can be used from any location.""","""Code: `session_token = secrets.token_urlsafe(32)` (line 248), then inserted into sessions table with only user_id, created_at, expires_at."",""If an attacker obtains a session token (e.g., from memory dump, SQLite file, or log), they can impersonate the user until the token expires (24 hours)."",""Bind session tokens to additional context: client IP hash, device fingerprint, or a hardware-bound identifier. Implement session rotation on sensitive operations."
"28","Security","HIGH","code1/f02_encrypt_file.py:98","Entire file loaded into memory for encryption","""The encryptFile function reads the entire file into memory with `input_path.read_bytes()` (line 98). For large files"," this can cause memory exhaustion and also means the entire plaintext exists in RAM simultaneously.""","""Code: `plaintext = input_path.read_bytes()` (line 98).""","""Large files (> available RAM) will crash the application. Additionally, the entire plaintext is in memory at once, increasing the attack surface for memory scraping."",""Implement streaming encryption using AES-GCM with chunked reads. The `cryptography` library supports streaming GCM via CipherContext. Process files in 8MB chunks matching the hash function's approach."
"29","Security","HIGH","code1/f03_decrypt_file.py:114","Entire encrypted file loaded into memory for decryption","""Same issue as #28 but for decryption. The entire .sffs file is read into memory with `sffs_path.read_bytes()` (line 114).""","""Code: `file_content = sffs_path.read_bytes()` (line 114).""","""Large encrypted files cause memory exhaustion. The entire ciphertext is in memory at once.""","""Implement streaming decryption with chunked reads."
"30","Security","HIGH","code2/f11_write_audit_log.py:355-358","Global singleton logger uses hardcoded default path","""The module-level _getLogger function creates a global logger with a hardcoded default path `./code2/test_output/audit.db`. If this singleton is used before SFFSCore creates its own logger"," audit logs go to the wrong location.""","""Code: `_db_path = Path(""""./code2/test_output/audit.db"""")` (line 355).""","""Audit logs may be written to an incorrect location, making them inaccessible for forensic analysis. The hardcoded path is also relative, making it dependent on the current working directory."",""Remove the global singleton or make it require explicit initialization. The path should never be hardcoded."
"31","Security","HIGH","code1/f05_verify_hash.py:118-119","File read entirely into memory for hash verification","""In verifyFileIntegrity"," both the original and decrypted files are read entirely into memory for hashing: `sha256(f.read()).hexdigest()` (lines 119"," 124"," 127)."",""Code: `with open(decrypted_path, """"rb"""") as f: hash_post = sha256(f.read()).hexdigest()` (lines 118-119). Same pattern on lines 124 and 127."",""Large files cause memory exhaustion during hash verification. This is inconsistent with the streaming approach used in generateHash (which correctly uses 8MB chunks)."",""Use the streaming generateHash function instead of reading entire files into memory. Replace `sha256(f.read())` with the chunked approach from f04."
"32","Security","HIGH","code2/f08_secure_memory_wipe.py:157-166","wipeString function is a security theater","""The wipeString function claims to wipe a string via ctypes but actually just encodes it to bytes"," creates a bytearray copy"," wipes the copy"," and returns an empty string. The original string is never touched."",""Code: `s_bytes = s.encode('utf-8')` creates a new bytes object, `wiped = bytearray(s_bytes)` creates a copy, `secureMemoryWipe(wiped)` wipes the copy, `return """"` (lines 160-166). The original string `s` is completely unaffected."",""This function gives a false sense of security. Callers believe the string has been wiped when only a copy was wiped. The original string remains in memory until garbage collection."",""Remove this function entirely. It cannot work as advertised due to Python's string immutability. Document clearly that strings cannot be securely wiped in Python."
"33","Security","HIGH","code3/f16_cloud_sync.py:151-161","Cloud download writes to arbitrary local path without validation","""The cloudSync download action writes downloaded content directly to the specified local_path without any validation. An attacker who controls the file_id parameter could cause the system to overwrite arbitrary files.""","""Code: `Path(local_path).write_bytes(fh.getvalue())` (line 161). No validation that local_path is within an allowed directory.""","""Path traversal: if local_path is set to a sensitive location (e.g."," the keystore file, config file, or system file), the download could overwrite it with attacker-controlled content from Google Drive."",""Validate that local_path is within an allowed directory (e.g., the sandbox or backups directory). Use the same _require_within pattern used in the isolated worker."
"34","Security","HIGH","code1/f06_secure_key_storage.py:137","AES-GCM IV is 12 bytes but pycryptodome expects nonce","""The code uses `AES.new(derived_key"," AES.MODE_GCM"," nonce=iv)` with a 12-byte IV. While pycryptodome accepts this"," the variable is named 'iv' but GCM uses a 'nonce'. More critically, the IV is generated with `get_random_bytes(12)` — for GCM, a 12-byte nonce is correct, but the naming inconsistency indicates confusion about the primitive."",""Code: `iv = get_random_bytes(12)` (line 134), `cipher = AES.new(derived_key, AES.MODE_GCM, nonce=iv)` (line 137)."",""This is not a direct vulnerability but indicates confusion between IV and nonce terminology. In GCM, the term is 'nonce' and 12 bytes is the recommended size. The code works correctly but the naming is misleading."",""Rename 'iv' to 'nonce' throughout the keystore code for clarity and correctness. Update the keystore JSON schema to use 'nonce' instead of 'iv'."
"35","Security","HIGH","code3/f14_ui_dashboard.py:317","Dynamic import of sandbox_viewer in UI event handler","""The _open_sandbox_item method dynamically imports sandbox_viewer inside the event handler: `from sandbox_viewer import show_sandbox_file_viewer` (line 317). If the import fails (e.g."," missing dependencies)"," the exception propagates to the Qt event loop.""","""Code: `from sandbox_viewer import show_sandbox_file_viewer` inside _open_sandbox_item (line 317) and _pick_sffs_to_view (line 333)."",""Import failures during UI interaction cause unhandled exceptions that crash the application or produce cryptic error messages. Dynamic imports also make dependency analysis difficult."",""Move imports to the top of the file. Handle import failures gracefully with a user-friendly error message."
"36","Architecture","MEDIUM","code1/f06_secure_key_storage.py:169","Inconsistent keystore versioning between PBKDF2 and Argon2id","""The keystore uses version """"2.0"""" for Argon2id and """"1.0"""" for PBKDF2-SHA256. However"," the version field does not capture the KDF parameters (time_cost"," memory_cost"," parallelism) in a versioned way. If parameters change in the future, old keystores may not be distinguishable from new ones."",""Code: `""""version"""": """"2.0"""" if kdf_name == """"ARGON2ID"""" else """"1.0""""` (line 158)."",""Future parameter changes could break backward compatibility without a clear versioning signal. Old keystores might be attempted with new parameters, causing decryption failures."",""Include a full parameter set in the version or use semantic versioning: e.g., """"argon2id-3-65536-2"""" encoding the parameters in the version string."
"37","Architecture","MEDIUM","main-code/sffs_core.py:68","Session password stored as instance variable","""The SFFSCore class stores a copy of the login password as `self._session_password` (a bytearray). This password persists for the entire session duration and is only wiped on logout.""","""Code: `self._session_password: Optional[bytearray] = None` (line 68)"," set in login (line 164)"," wiped in logout (line 196)."",""The master password is held in memory for the entire session. If the process is memory-dumped at any point during the session, the password can be extracted. The password is needed for RSA keystore unwrap operations."",""Derive the AES key for keystore access once at login and store only the derived key, not the password. Or re-derive from user input on each decrypt operation. At minimum, document the session password lifetime clearly."
"38","Architecture","MEDIUM","main-code/sffs_core.py:74","IPC counter has no overflow protection","""The IPC counter (`self._ipc_counter`) is incremented on each signed envelope but is a plain integer with no overflow protection. While Python integers don't overflow"," the counter is used as part of the nonce. After 2^64 requests (theoretical)"," the nonce could repeat.""","""Code: `self._ipc_counter += 1` (line 360)."",""In practice this won't overflow, but the design doesn't account for counter reset on process restart. If the process restarts, the counter starts at 0 again, potentially reusing nonces if the IPC secret is also the same."",""Include a process-start timestamp or random component in the nonce to prevent cross-restart nonce reuse. Or use a random nonce for each message instead of a counter."
"39","Architecture","MEDIUM","code2/f07_create_isolated_sandbox.py:68-70","Sandbox directory created with exist_ok=False but no cleanup on failure","""The sandbox directory is created with `exist_ok=False`"," which raises FileExistsError if the directory already exists. However"," there is no cleanup of partially created subdirectories if a later step fails.""","""Code: `sandbox_path.mkdir(parents=True, exist_ok=False)` (line 70). Subdirectories are created on lines 100-102."",""If the sandbox creation fails midway (e.g., permission error on subdirectory), a partially created sandbox directory remains on disk, potentially containing sensitive data from previous sessions."",""Wrap the entire creation in a try/except that cleans up the sandbox directory on failure. Or use exist_ok=True and verify the directory is empty."
"40","Architecture","MEDIUM","code3/f13_init_drive_detection.py:122","Development mode falls back to parent of app directory","""When not running from a removable volume"," initDriveDetection falls back to `usb_root = app_dir.resolve().parent` (line 122). This means during development"," the sffs_data directory is created in the parent of the project directory"," which could be the user's home directory or any arbitrary location."",""Code: `usb_root = app_dir.resolve().parent` (line 122)."",""During development, sensitive data directories (keys, sandbox, logs) are created in unpredictable locations. If the parent is a shared directory, other users may have access."",""Use a fixed development directory (e.g., `app_dir / """"sffs_data""`) instead of the parent. Or require explicit configuration for development mode."
"41","Architecture","MEDIUM","code3/f18_thread_controller.py:49-56","WorkerThread does not handle cancellation during task execution","""The WorkerThread's run method executes the task without checking for cancellation. The cancel() method only sets a flag"," but the task itself has no way to check if it has been cancelled.""","""Code: `out = self.task(*self.args"," **self.kwargs)` (line 51). No check for `self._cancelled` during execution."",""Long-running tasks (e.g., encrypting large files) cannot be cancelled mid-execution. The user must wait for the task to complete even after pressing cancel."",""Pass a cancellation check callback to the task, or use a cooperative cancellation pattern where the task periodically checks `is_cancelled()`."
"42","Architecture","MEDIUM","code2/f11_write_audit_log.py:197-213","Log rotation breaks hash chain","""When old log entries are deleted during rotation"," the hash chain is broken. The first remaining entry's prev_hash points to a deleted entry"," so verifyLogIntegrity will report tampering for the first entry after rotation.""","""Code: `DELETE FROM audit_log WHERE log_id IN (SELECT log_id FROM audit_log ORDER BY log_id ASC LIMIT ?)` (lines 208-211). The prev_hash of the first remaining entry still references a deleted entry."",""After log rotation, the integrity check will always report the first entry as tampered, making the entire hash chain verification useless after the first rotation."",""When rotating, update the first remaining entry's prev_hash to """"GENESIS"""" or store a rotation marker. Or use a different integrity mechanism (e.g., periodic signed snapshots)."
